id,ysws,approved_at,hours,country,github_username,code_url,demo_url,description,screenshot_url,github_stars,display_name,archived_demo,archived_repo
rec3i2pEBD9BPKViR,Stasis,1776038400,32,US,,https://github.com/jacobjuneau6/AutoFly,https://github.com/jacobjuneau6/AutoFly,"A cheap, light and, small autonomus drone with ~100g payload capacity",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/eMCdhouDLjRwA78t6pq7QA/z8l7nl_Ec4CrbpKQZXFWHLMoFCXwK9uFJaEe0oYH-39SbEe3lqOlxcmTZuoG9zyvct8U9S0MybmgVk8USygoUOhYehktj4rf9Gb6zyZWK4YpH5be9_Dn69BcU-V3YRigZLPr17Xwnlj32Np9cZrIUiDN6iF41Bsbn25rcxO_E0nUt4dZLgJIP8Mn4CWqg3yG/Xv9-i8mhc94VWjX5SP904UWuj6EdEeelHShO7WSrjbk,0,,,http://archive.hackclub.com/YhwNw
recQttd3tP0taqd3H,Stasis,1774915200,10,CA,,https://github.com/Ninjadude01/Spotify-Display-,https://github.com/Ninjadude01/Spotify-Display-,"A display that allows you to see what Spotify track is currently playing, and pressing the keyboard switches will produce a fun noise!",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/LvKc928ThDXSxsIQVdlR8A/MP2Qo3NFP8A_zgzma_en7gGaIdCtQpaoNIo3E5gHF8SN2BilSzG-MsilPZy__NkiEaEV7etq0dJ2Fv9BKT3nKe7VLXhgKh1PhehlJonG1lDnJGVq9zZFATMGSY3flEQsop38mMD2erxthmnVhXTi6Y_B1by8ddZR7V6VIqow4uuUtPb4HL_HiSPCbV1GjQAS/KftkWAQfFJe_ULoVumyQgCIkoR1_Srd0WZsBvFggYto,0,,,http://archive.hackclub.com/Q39N4
recRHBmoHhh8jlTpH,Stasis,1774656000,18,IN,,https://github.com/CHAPARII/CutieBoard,https://github.com/CHAPARII/CutieBoard,"I'll be making a keyboard. I've seen one of my fried owns a 60% keyboard and I guess I also should make my own keyboard like him. I gotta do lots of planning and reaserch for this but I'm ready and exixted for this, wuhuuuuu!! I'll be sharing all the updates in here and I hope everything goes well T\_T.",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/kvKMMabHcZ0UPu1DD9nRJQ/f0V5ZJj57dAH929sFwko30on0FjLMtX5Yk0ly7MVeQ06UjywHaUxXkvtsgVYzi7nb9BQphm4DaqLZQSO7vwm5y5EFhbo47Twj4TB5n7NLCxB_apDrZKje5XDv0YIZJH8BzipQuyfcGjxdEAbXZKxUoO5Wr_zpZ-e_oJaHKaiALcngmHMLnNTs7uLEvM7mZ7c/YPH9RY2tJzlAgyzJr1zILjMVzv0VI3luv9oCw0nGaJk,0,,,http://archive.hackclub.com/i52NN
recoanV1VG7rPUKDR,Stasis,1775606400,3,CA,,https://github.com/SilentPrincess108/Zelda-Keycaps,https://github.com/SilentPrincess108/Zelda-Keycaps,"A CAD project made for Hack Club's Stasis! For this project, I created 4 custom Zelda-themed keycaps(made to fit MX switches) for my pathfinder project! They feature a triforce, navi, a rupee, and a heart container! I also created this project as an easy and simple start into learning Fusion, as I'm still pretty new to 3d modeling!",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/1LYabv9uWLFqX3ZG6ha0ew/vfUc-T9RcL5GKv_rFaL71hlkTavbVd4Mis-f7R98AjTWyyvBd6OTHggcU0NxLa5OtXR_KApw8l7BK2Re5rIlG1k4HWyiBVHG2wb63vnxJeeVhvAIqDq3ajvYF4-7zDp7_B4mzfsnxEguR6FQjX5AFhhRCPAAnxAy9Dv6WT6kyMZCZ8QXAoHIOThs2IfvpLUq/kkQV2k3MSvDQ0roB294bTKeATLyEdX3Pxib9oELFMWc,0,,,http://archive.hackclub.com/Fmd8C
recGS4a6snNj9raYE,Stasis,1776211200,4,NL,,https://github.com/Almo-ond-tech/Flower-Blinky,https://github.com/Almo-ond-tech/Flower-Blinky,I want to make a clover-shaped led board,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/sYGgQvZFrivQ-f3CDqIX7g/LyaiCGOojeC_VJPhyv9t4B_k-XsR2J9pCIBI30-QRYlMQSk_cB1bCbbTRY0HtXYj__Bvx_Hk7_VjW8bS8o5lE8vSM67504KCzDlNE28e4a-IvGITw3eq1MM6jHj4WgbLg6CRRfSrbxhvg7Isme6j19VRK901CuiPeuBl1e960vHuchKsCFqV3eMfxV3aEu9L/NkXEY0KgTlhNqkRy5Bx2lE8NGqRPRyfrM09uVyPZIE4,0,,,http://archive.hackclub.com/Dlgau
recRjzwgr4ChM42qv,Stasis,1775779200,2,US,,https://github.com/Cubic-Vyper/Duck-Blinky/tree/main,https://github.com/Cubic-Vyper/Duck-Blinky/tree/main,"This is a duck shaped led chaser, I chose to make it shaped as a duck because I love ducks.",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/cNA-YSpR_CFyVXdQOJK7tw/DRqlwXs3Wt-tsEotaLBYvbsmT8pA_I4i1paDoo3zD20wMBfB6f6nFkL84QBtvh3lz0kHIir0tCtQl4co35p_nToxtE242CAFliTpOgxXHjJnB4iWoXAywJlEMRbVhRa7XqQi00ASD9rtXshkdKdqzFjYMGUbizss_HCgGlaM9sZ_G9Tn7W-8dCL95fWr2ZQX/b4GzBa_NerU2bpuYUa75z1FaEauMx75P6fg4uMVECT4,0,,,http://archive.hackclub.com/doqTj
recS16MUiJKfR00II,Stasis,1775779200,8,BG,,https://github.com/anton2785-bit/Antons-USB-splitter.git,https://github.com/anton2785-bit/Antons-USB-splitter.git,1 USB in 4 USB out at USB 3.0 speeds,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/AFexD6jz-BJ4I0iao9IU7w/I2x1ngBPI96PKwRb-Tj8aFA2kxlsinDb28uGjMIYbqVMjjFGl64Hv4LhpZbtvvkTR3Qiwl-gF7Zu3c0FJqkDfAdrekqNx094-nlRZfR6xzuAnK0t_p5qzqXbf5xb7-BrUYXzBFCbNkweVchRU2oJxQWmqaPvIOZmQLC7oB6FWQZSlJb7-2bC40yL7qewH-9x/DGMVZ37hCA3jYQdkfXpj0RJqz_2oKM9MgBPvbO7lpn0,0,,,http://archive.hackclub.com/MGMt4
recxihwABhWHOXjQA,Stasis,1774656000,4,MY,,https://github.com/LizOnAir/PCB-Keychain.git,https://github.com/LizOnAir/PCB-Keychain.git,A keychain that can carry a url and blink when tapped on a phone,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/gMkU6Rhv3WLrpZpGGSeTWw/VD5mrgcxoLg1YY3be3KeMrftBi3Jj9N3ioR0qLw7qGWwNjB7_IRyiezS2e_C3XasStGtUx47Jeo8W5eMHmS0xP14AIkzOtop1x5y_Qdq-SzCHLPmPkdS0uLhr1cCKvSHkGAT9dadrHRAiCpAR9JEBtxt7WhWmrzF_eqDGx0EsWgmADX9ZMgFOp7v4SbXL8pS/SLoZsa_Ggjled7DHh7p5-mopUrj29Pqhuqn22XBli_8,0,,,http://archive.hackclub.com/DEbLu
rec5ya2o0lSFJZyqD,Stasis,1773273600,19,IN,,https://github.com/yutish3/yapping-cat-dev-board/tree/main,https://github.com/yutish3/yapping-cat-dev-board/tree/main,esp32 custom devboard,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/05hcuaFVrP4br9MlfwcxfQ/9L3QVVdrsqxZa3bxkyUXDKS9YPXN6BSLuV0fUHRumB40xhoiTP20uc5hUdy9YnIZglTIClc7t_th-25WqU4AEXx30xoqBqQKq0ACWtOwggU3is52YEBrK7rkJdKrg3Yw4rbx_lnWmdv_1P4_GdifsGOXdfFENqHKHCVD5zyxhSI/cK4bGlFdwLAOAH9r38UerYQY7Gineb9HTK_ptKJgjTk,0,yutish3,,http://archive.hackclub.com/NawzE
recSDV9sYh1NaPeIh,Stasis,1774915200,8,ID,,https://github.com/maraulsav/PISTAR,https://github.com/maraulsav/PISTAR,My first custom development board. I plan to made it as a part of my drone project,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/Bm2AY_58S38aId_PbP7DYg/isZ627-xY0a55Y5tXmT42Gv9K0ggHMWNbWM0JBJL7CVbBk1uG5d9HKRNRlB9NhkkOP1vzkY8S5MvEU3RymEHkqHpXgLTvk7BuCGBLn3H9X476R0tpSmlfJ7EXJ87xSSlrAHUzSwc2rRlcfil03FIgIWb-rw6O08gaR9N_ZaeWPs9tZxLEGVh5_aEao6IOvrQ/MxyCbNoldDXeyYeKRk55b2lMg-6dzLzzGdAQ6qcWA4s,0,,,http://archive.hackclub.com/ObHYc
recSHSi5CzvMzbCgR,Stasis,1775779200,9,IN,,https://github.com/ShlokVaidya/HackPad,https://github.com/ShlokVaidya/HackPad,"HackPad is a compact custom macro pad, featuring 12 MX-style mechanical keys, a rotary encoder knob for dynamic input, and a UART port for cross-communication with other microcontrollers.",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/Goiu9xBlCPMJeCh97y8Ibw/SInX1ZXKmIJz5b0OOve8FQCNRvqeA4TtvAcU_IUJjZ5v8mECrLjK7r2uly7m88OHjZ9bssh0nWzqQNgsiJ_kLDulstxsEMkQCHeIK6dLP2H_2Gtt9F5spdHQWSbrtMVkZiy-Iz7EAiVY0aQDrmSB4tdECZ7nC70l1TkIY9J8egUrr4OXC3WBaVljZwHleDDh/vWBcYvTQ-8wpkz4HYSPJPsy-ekxpDxXaVm4Cu14kV1M,0,sentry,,http://archive.hackclub.com/KO8cx
